#,System call,10240,10586,14393,15063,16299,17134,17763,18362,18363,19041,19042,19043,19044,19045,22000,20348,22621,22631,25398,26100,26085
473,NtTestAlert,0x01a3,0x01a6,0x01ac,0x01b2,0x01b6,0x01b8,0x01b9,0x01ba,0x01ba,0x01c0,0x01c0,0x01c0,0x01c2,0x01c2,0x01c8,0x01cc,0x01d0,0x01d0,0x01d2,0x01d3,0x01d3
474,NtThawRegistry,0x01a4,0x01a7,0x01ad,0x01b3,0x01b7,0x01b9,0x01ba,0x01bb,0x01bb,0x01c1,0x01c1,0x01c1,0x01c3,0x01c3,0x01c9,0x01cd,0x01d1,0x01d1,0x01d3,0x01d4,0x01d4
475,NtThawTransactions,0x01a5,0x01a8,0x01ae,0x01b4,0x01b8,0x01ba,0x01bb,0x01bc,0x01bc,0x01c2,0x01c2,0x01c2,0x01c4,0x01c4,0x01ca,0x01ce,0x01d2,0x01d2,0x01d4,0x01d5,0x01d5
476,NtTraceControl,0x01a6,0x01a9,0x01af,0x01b5,0x01b9,0x01bb,0x01bc,0x01bd,0x01bd,0x01c3,0x01c3,0x01c3,0x01c5,0x01c5,0x01cb,0x01cf,0x01d3,0x01d3,0x01d5,0x01d6,0x01d6
477,NtTraceEvent,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e,0x005e
478,NtTranslateFilePath,0x01a7,0x01aa,0x01b0,0x01b6,0x01ba,0x01bc,0x01bd,0x01be,0x01be,0x01c4,0x01c4,0x01c4,0x01c6,0x01c6,0x01cc,0x01d0,0x01d4,0x01d4,0x01d6,0x01d7,0x01d7
479,NtUmsThreadYield,0x01a8,0x01ab,0x01b1,0x01b7,0x01bb,0x01bd,0x01be,0x01bf,0x01bf,0x01c5,0x01c5,0x01c5,0x01c7,0x01c7,0x01cd,0x01d1,0x01d5,0x01d5,0x01d7,0x01d8,0x01d8
480,NtUnloadDriver,0x01a9,0x01ac,0x01b2,0x01b8,0x01bc,0x01be,0x01bf,0x01c0,0x01c0,0x01c6,0x01c6,0x01c6,0x01c8,0x01c8,0x01ce,0x01d2,0x01d6,0x01d6,0x01d8,0x01d9,0x01d9
481,NtUnloadKey,0x01aa,0x01ad,0x01b3,0x01b9,0x01bd,0x01bf,0x01c0,0x01c1,0x01c1,0x01c7,0x01c7,0x01c7,0x01c9,0x01c9,0x01cf,0x01d3,0x01d7,0x01d7,0x01d9,0x01da,0x01da
482,NtUnloadKey2,0x01ab,0x01ae,0x01b4,0x01ba,0x01be,0x01c0,0x01c1,0x01c2,0x01c2,0x01c8,0x01c8,0x01c8,0x01ca,0x01ca,0x01d0,0x01d4,0x01d8,0x01d8,0x01da,0x01db,0x01db
483,NtUnloadKeyEx,0x01ac,0x01af,0x01b5,0x01bb,0x01bf,0x01c1,0x01c2,0x01c3,0x01c3,0x01c9,0x01c9,0x01c9,0x01cb,0x01cb,0x01d1,0x01d5,0x01d9,0x01d9,0x01db,0x01dc,0x01dc
484,NtUnlockFile,0x01ad,0x01b0,0x01b6,0x01bc,0x01c0,0x01c2,0x01c3,0x01c4,0x01c4,0x01ca,0x01ca,0x01ca,0x01cc,0x01cc,0x01d2,0x01d6,0x01da,0x01da,0x01dc,0x01dd,0x01dd
485,NtUnlockVirtualMemory,0x01ae,0x01b1,0x01b7,0x01bd,0x01c1,0x01c3,0x01c4,0x01c5,0x01c5,0x01cb,0x01cb,0x01cb,0x01cd,0x01cd,0x01d3,0x01d7,0x01db,0x01db,0x01dd,0x01de,0x01de
486,NtUnmapViewOfSection,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a,0x002a
487,NtUnmapViewOfSectionEx,0x01af,0x01b2,0x01b8,0x01be,0x01c2,0x01c4,0x01c5,0x01c6,0x01c6,0x01cc,0x01cc,0x01cc,0x01ce,0x01ce,0x01d4,0x01d8,0x01dc,0x01dc,0x01de,0x01df,0x01df
488,NtUnsubscribeWnfStateChange,0x01b0,0x01b3,0x01b9,0x01bf,0x01c3,0x01c5,0x01c6,0x01c7,0x01c7,0x01cd,0x01cd,0x01cd,0x01cf,0x01cf,0x01d5,0x01d9,0x01dd,0x01dd,0x01df,0x01e0,0x01e0
489,NtUpdateWnfStateData,0x01b1,0x01b4,0x01ba,0x01c0,0x01c4,0x01c6,0x01c7,0x01c8,0x01c8,0x01ce,0x01ce,0x01ce,0x01d0,0x01d0,0x01d6,0x01da,0x01de,0x01de,0x01e0,0x01e1,0x01e1
490,NtVdmControl,0x01b2,0x01b5,0x01bb,0x01c1,0x01c5,0x01c7,0x01c8,0x01c9,0x01c9,0x01cf,0x01cf,0x01cf,0x01d1,0x01d1,0x01d7,0x01db,0x01df,0x01df,0x01e1,0x01e2,0x01e2
491,NtWaitForAlertByThreadId,0x01b3,0x01b6,0x01bc,0x01c2,0x01c6,0x01c8,0x01c9,0x01ca,0x01ca,0x01d0,0x01d0,0x01d0,0x01d2,0x01d2,0x01d8,0x01dc,0x01e0,0x01e0,0x01e2,0x01e3,0x01e3
492,NtWaitForDebugEvent,0x01b4,0x01b7,0x01bd,0x01c3,0x01c7,0x01c9,0x01ca,0x01cb,0x01cb,0x01d1,0x01d1,0x01d1,0x01d3,0x01d3,0x01d9,0x01dd,0x01e1,0x01e1,0x01e3,0x01e4,0x01e4
493,NtWaitForKeyedEvent,0x01b5,0x01b8,0x01be,0x01c4,0x01c8,0x01ca,0x01cb,0x01cc,0x01cc,0x01d2,0x01d2,0x01d2,0x01d4,0x01d4,0x01da,0x01de,0x01e2,0x01e2,0x01e4,0x01e5,0x01e5
494,NtWaitForMultipleObjects,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b,0x005b
495,NtWaitForMultipleObjects32,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a,0x001a
496,NtWaitForSingleObject,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004
497,NtWaitForWnfNotifications,,,,,,,,,,,,,,,,,,,,,
498,NtWaitForWorkViaWorkerFactory,0x01b6,0x01b9,0x01bf,0x01c5,0x01c9,0x01cb,0x01cc,0x01cd,0x01cd,0x01d3,0x01d3,0x01d3,0x01d5,0x01d5,0x01db,0x01df,0x01e3,0x01e3,0x01e5,0x01e6,0x01e6
